5,98.886,96.502,96.576,98.652
1,98.855,98.192,98.575,98.472
2,98.567,97.246,98.464,97.380
3,98.438,97.090,97.345,98.110
4,98.554,97.279,98.112,97.630
5,98.428,97.464,97.600,98.405
1,98.569,97.578,98.411,97.811
2,97.886,96.079,97.809,96.382
3,96.771,95.514,96.377,95.734
4,96.684,95.623,95.744,96.525
5,97.176,96.000,96.507,96.250
1,96.298,95.718,96.165,95.854
2,95.955,94.871,95.842,95.215
3,96.033,95.021,95.199,95.627
4,96.568,95.611,95.630,95.947
5,96.038,95.040,95.903,95.199
1,96.164,95.122,95.122,96.064
2,96.508,95.309,96.053,96.343
3,96.982,96.167,96.354,96.648
4,96.878,95.691,96.649,95.930
5,96.111,95.700,95.925,96.021
1,96.121,94.659,96.106,95.343
2,95.458,94.709,95.350,94.884
3,94.879,91.799,94.860,92.875
4,93.595,92.376,92.860,92.980
5,93.188,91.773,92.985,92.537
1,93.025,91.735,92.357,92.915
2,93.752,92.710,92.905,93.496
3,94.457,93.257,93.524,94.224
4,94.447,93.266,94.230,93.920
5,94.370,93.480,93.916,94.218
1,94.782,94.126,94.240,94.181
2,94.390,93.286,94.195,93.734
3,93.866,93.080,93.736,93.650
4,95.289,93.527,93.618,94.932
5,95.166,94.590,94.941,94.835
1,95.378,94.672,94.841,95.173
2,95.268,94.036,95.166,94.538
3,95.355,94.007,94.537,94.978
4,95.881,94.826,94.995,95.550
5,95.827,94.497,95.552,94.647
1,95.423,94.584,94.752,95.258
2,95.459,94.357,95.263,95.219
3,95.395,94.628,95.229,94.956
4,95.800,94.772,94.960,95.449
5,97.775,95.050,95.423,97.546
1,97.742,96.908,97.692,97.098
2,97.159,95.753,97.134,95.979
3,96.751,95.121,95.953,96.040
4,96.488,95.037,96.036,95.466
5,95.463,94.420,95.379,94.938
1,94.863,94.200,94.695,94.494
2,95.285,94.338,94.510,94.678
3,94.961,93.673,94.673,94.064
4,94.552,93.852,94.074,94.175
5,94.709,93.422,94.184,94.390
1,95.059,94.274,94.362,94.549
2,94.626,93.787,94.549,94.171
3,94.563,93.871,94.169,94.259
4,94.286,93.207,94.267,93.502
5,94.068,93.406,93.503,93.587
1,93.553,92.546,93.262,93.109
2,93.436,92.808,93.071,92.918
3,93.070,92.099,92.908,92.199
4,92.768,91.940,92.206,92.618
5,93.245,92.287,92.618,92.996
1,93.296,92.813,92.930,93.053
2,93.082,92.022,93.055,92.319
3,92.589,91.609,92.330,92.028
4,92.250,91.401,92.033,91.722
5,91.783,90.206,91.733,90.704
1,91.130,90.196,90.282,90.930
2,91.637,90.783,90.932,91.043
3,91.361,90.130,91.053,90.921
4,91.619,90.506,90.918,91.075
5,91.537,90.989,91.051,91.277
1,92.528,91.305,91.305,91.920
