Date,Open,High,Low,Close,Volume,Adj Close
12/12/2014,202.639999,203.820007,200.850006,200.889999,202330200,196.912484
12/11/2014,203.880005,206.190002,203.710007,204.190002,159012800,200.147148
12/10/2014,205.910004,205.979996,202.929993,203.160004,154761600,199.137543
12/9/2014,204.369995,206.600006,203.910004,206.470001,125180100,202.382004
12/8/2014,207.520004,208.119995,205.929993,206.610001,108588200,202.519232
12/5/2014,207.869995,208.470001,207.550003,208,91025500,203.88171
12/4/2014,207.539993,208.270004,206.699997,207.660004,89928200,203.548445
12/3/2014,207.300003,208.149994,207.100006,207.889999,69450000,203.773887
12/2/2014,205.809998,207.339996,205.779999,207.089996,74507200,202.989724
12/1/2014,206.399994,206.539993,205.380005,205.759995,103968400,201.686055
11/28/2014,207.490005,207.869995,206.910004,207.199997,57890100,203.097547
11/26/2014,207.289993,207.759995,207.029999,207.639999,61928400,203.528837
11/25/2014,207.539993,207.789993,206.800003,207.110001,79108000,203.009332
11/24/2014,207.169998,207.389999,206.910004,207.259995,65881000,203.156356
11/21/2014,207.639999,207.839996,205.979996,206.679993,142327000,202.587838
11/20/2014,204.259995,205.710007,204.179993,205.580002,72840000,201.509627
11/19/2014,205.309998,205.550003,204.300003,205.220001,82373000,201.156754
11/18/2014,204.440002,205.919998,204.440002,205.550003,76068000,201.480222
11/17/2014,203.850006,204.580002,203.649994,204.369995,80441000,200.323577
11/14/2014,204.100006,204.490005,203.720001,204.240005,80418000,200.196161
11/13/2014,204.160004,204.830002,203.210007,204.190002,85358000,200.147148
11/12/2014,203.350006,204.240005,203.309998,203.960007,90120000,199.921706
11/11/2014,204.059998,204.309998,203.649994,204.179993,54499000,200.137337
11/10/2014,203.380005,204.039993,203.130005,203.979996,66319000,199.9413
11/7/2014,203.169998,203.600006,202.610001,203.339996,89540000,199.313972
11/6/2014,202.389999,203.259995,201.639999,203.149994,107089000,199.127732
11/5/2014,202.539993,202.589996,201.449997,202.339996,91709000,198.333771
11/4/2014,201.229996,201.600006,200.059998,201.070007,93343000,197.088928
11/3/2014,201.919998,202.449997,201.309998,201.770004,93600000,197.775065
10/31/2014,201.779999,201.820007,200.770004,201.660004,146903000,197.667242
10/30/2014,197.580002,199.949997,197.399994,199.380005,113330000,195.432386
10/29/2014,198.550003,199.119995,196.800003,198.110001,142557000,194.187527
10/28/2014,196.820007,198.419998,196.729996,198.410004,106736000,194.481591
10/27/2014,195.729996,196.449997,195.029999,196.160004,82954000,192.276139
10/24/2014,195.25,196.490005,194.490005,196.429993,117927000,192.540783
10/23/2014,194.619995,196.199997,194.259995,194.929993,154944000,191.070482
10/22/2014,194.410004,194.910004,192.610001,192.690002,151822000,188.874842
10/21/2014,191.679993,194.199997,191.479996,194.070007,154949000,190.227524
10/20/2014,188.130005,190.449997,188.070007,190.300003,130011000,186.532164
10/17/2014,188.419998,189.75,187.619995,188.470001,214625000,184.738395
10/16/2014,183.059998,187.580002,182.889999,186.270004,270391000,182.581957
10/15/2014,185.160004,187.690002,181.919998,186.429993,380715000,182.738777
10/14/2014,188.419998,189.820007,187.039993,187.699997,215847000,183.983636
10/13/2014,190.460007,191.149994,187.300003,187.410004,230939000,183.699385
10/10/2014,192.690002,193.649994,190.490005,190.539993,221909000,186.767402
10/9/2014,196.330002,196.600006,192.580002,192.740005,210705000,188.923855
10/8/2014,193.369995,196.919998,192.360001,196.639999,186461000,192.746631
10/7/2014,195.279999,195.720001,193.220001,193.259995,147913000,189.433549
10/6/2014,197.339996,197.600006,195.580002,196.289993,104778000,192.403555
10/3/2014,195.679993,196.940002,195.080002,196.520004,121569000,192.629012
10/2/2014,194.179993,195.059998,192.350006,194.380005,157285000,190.531384
10/1/2014,196.699997,196.770004,193.910004,194.350006,177798000,190.501979
9/30/2014,197.690002,198.300003,196.610001,197.020004,131302000,193.119112
9/29/2014,196.199997,197.889999,196.050003,197.539993,95112000,193.628806
9/26/2014,196.699997,198.389999,196.419998,197.899994,103547000,193.981679
9/25/2014,199.039993,199.050003,196.270004,196.339996,150300000,192.452568
9/24/2014,198.039993,199.690002,197.520004,199.559998,107276000,195.608815
9/23/2014,198.429993,199.259995,197.949997,198.009995,111393000,194.089501
9/22/2014,200.350006,200.380005,198.729996,199.149994,125553000,195.206929
9/19/2014,201.520004,201.899994,200.289993,200.699997,121649000,196.726243
9/18/2014,201.360001,201.850006,201.100006,201.820007,94990000,196.903672
9/17/2014,200.770004,201.679993,199.75,200.75,151266000,195.85973
9/16/2014,198.610001,200.839996,198.5,200.479996,116201000,195.596303
9/15/2014,199.160004,199.320007,198.380005,198.979996,76401000,194.132843
9/12/2014,200.100006,200.119995,198.559998,199.130005,117409300,194.279198
9/11/2014,199.270004,200.330002,199.119995,200.300003,66774400,195.420695
9/10/2014,199.429993,200.199997,198.770004,200.070007,67251000,195.196302
9/9/2014,200.410004,200.550003,198.910004,199.320007,88591000,194.464572
9/8/2014,200.919998,201.210007,200,200.589996,64146000,195.703624
9/5/2014,200.169998,201.190002,199.410004,201.110001,102177000,196.210961
9/4/2014,200.839996,201.580002,199.660004,200.210007,85236000,195.332891
9/3/2014,201.380005,201.410004,200.220001,200.5,57462000,195.61582
9/2/2014,200.970001,201,199.860001,200.610001,72426000,195.723141
8/29/2014,200.449997,200.729996,199.820007,200.710007,65907000,195.820711
8/28/2014,199.589996,200.270004,199.389999,200.139999,58330000,195.264589
8/27/2014,200.429993,200.570007,199.940002,200.25,47874000,195.37191
8/26/2014,200.330002,200.820007,200.279999,200.330002,47298000,195.449963
8/25/2014,200.139999,200.589996,199.149994,200.199997,63855000,195.323125
